userid,num,,Bins,,Bins,Frequency
270529,721,,,,,
270528,721,,,,,
270527,720,,,,,
270526,719,,,,,
270525,719,,,,,
270524,718,,,,,
270523,718,,,,,
270522,717,,,,,
270521,717,,,,,
270519,717,,,,,
270518,717,,,,,
270517,717,,,,,
270516,717,,,,,
270515,716,,,,,
270514,714,,,,,
270513,714,,,,,
270512,713,,,,,
270511,711,,,,,
270510,710,,,,,
270509,709,,,,,
270508,709,,,,,
270507,708,,,,,
270506,708,,,,,
270505,707,,,,,
270504,706,,,,,
270503,706,,,,,
270502,705,,,,,
270501,705,,,,,
270500,704,,,,,
270499,703,,,,,
270498,703,,,,,
270497,702,,,,,
270496,701,,,,,
270495,700,,,,,
270494,700,,,,,
270493,700,,,,,
270492,700,,,,,
270491,700,,,,,
270490,699,,,,,
270489,698,,,,,
270488,698,,,,,
270487,697,,,,,
270486,696,,,,,
270485,695,,,,,
270484,693,,,,,
270483,693,,,,,
270482,693,,,,,
270481,691,,,,,
270480,691,,,,,
270479,691,,,,,
270478,688,,,,,
270477,688,,,,,
270476,687,,,,,
270475,685,,,,,
270474,684,,,,,
270473,684,,,,,
270472,683,,,,,
270471,682,,,,,
270470,681,,,,,
270469,681,,,,,
270468,681,,,,,
270467,680,,,,,
270466,680,,,,,
270465,680,,,,,
270464,680,,,,,
270463,680,,,,,
270462,680,,,,,
270461,679,,,,,
270460,679,,,,,
270459,679,,,,,
270458,678,,,,,
270457,678,,,,,
270456,678,,,,,
270455,677,,,,,
270454,677,,,,,
270453,677,,,,,
270452,675,,,,,
270451,675,,,,,
270450,674,,,,,
270449,673,,,,,
270448,673,,,,,
270447,673,,,,,
270446,672,,,,,
270445,672,,,,,
270444,670,,,,,
270443,669,,,,,
270442,669,,,,,
270441,669,,,,,
270440,668,,,,,
270439,667,,,,,
270438,667,,,,,
270437,667,,,,,
270436,667,,,,,
270435,666,,,,,
270434,666,,,,,
270433,665,,,,,
270432,665,,,,,
270431,665,,,,,
270430,665,,,,,
270429,665,,,,,
270428,664,,,,,
270427,663,,,,,
270426,663,,,,,
270425,663,,,,,
270424,663,,,,,
270423,663,,,,,
270422,662,,,,,
270421,662,,,,,
270420,662,,,,,
270419,662,,,,,
270418,662,,,,,
270417,661,,,,,
270416,661,,,,,
270415,661,,,,,
270414,660,,,,,
270413,660,,,,,
270412,659,,,,,
270411,659,,,,,
270410,659,,,,,
270409,659,,,,,
270408,659,,,,,
270407,658,,,,,
270406,658,,,,,
270405,658,,,,,
270404,657,,,,,
270403,657,,,,,
270402,657,,,,,
270401,657,,,,,
270400,656,,,,,
270399,656,,,,,
270398,655,,,,,
270397,655,,,,,
270396,655,,,,,
270395,655,,,,,
270394,655,,,,,
270393,654,,,,,
270392,653,,,,,
270391,653,,,,,
270390,653,,,,,
270389,653,,,,,
270388,653,,,,,
270387,651,,,,,
270386,651,,,,,
270385,651,,,,,
270383,650,,,,,
270382,650,,,,,
270381,649,,,,,
270380,649,,,,,
270379,648,,,,,
270378,647,,,,,
270377,647,,,,,
270376,646,,,,,
270375,645,,,,,
270374,645,,,,,
270373,645,,,,,
270372,645,,,,,
270371,645,,,,,
270370,645,,,,,
270369,645,,,,,
270368,645,,,,,
270367,644,,,,,
270366,644,,,,,
270365,644,,,,,
270364,644,,,,,
270363,643,,,,,
270362,642,,,,,
270361,642,,,,,
270359,641,,,,,
270358,641,,,,,
270357,641,,,,,
270356,640,,,,,
270355,640,,,,,
270354,639,,,,,
270353,638,,,,,
270352,637,,,,,
270351,637,,,,,
270350,637,,,,,
270349,635,,,,,
270348,635,,,,,
270347,635,,,,,
270346,635,,,,,
270345,634,,,,,
270343,633,,,,,
270342,632,,,,,
270341,631,,,,,
270340,631,,,,,
270339,631,,,,,
270338,631,,,,,
270337,631,,,,,
270336,631,,,,,
270335,631,,,,,
270334,630,,,,,
270333,630,,,,,
270332,630,,,,,
270331,630,,,,,
270330,630,,,,,
270329,630,,,,,
270328,629,,,,,
270327,629,,,,,
270326,628,,,,,
270325,627,,,,,
270324,627,,,,,
270323,626,,,,,
270322,626,,,,,
270321,626,,,,,
270320,626,,,,,
270319,626,,,,,
270318,625,,,,,
270316,625,,,,,
270315,625,,,,,
270314,624,,,,,
270313,624,,,,,
270312,624,,,,,
270311,624,,,,,
270310,623,,,,,
270309,623,,,,,
270308,623,,,,,
270307,623,,,,,
270306,623,,,,,
270305,622,,,,,
270304,622,,,,,
270303,621,,,,,
270302,621,,,,,
270301,620,,,,,
270300,619,,,,,
270299,619,,,,,
270298,619,,,,,
270297,619,,,,,
270296,618,,,,,
270295,618,,,,,
270294,617,,,,,
270293,617,,,,,
270292,617,,,,,
270291,616,,,,,
270290,616,,,,,
270289,616,,,,,
270288,615,,,,,
270287,615,,,,,
270286,614,,,,,
270285,614,,,,,
270284,614,,,,,
270283,614,,,,,
270282,614,,,,,
270281,612,,,,,
270280,612,,,,,
270279,612,,,,,
270278,612,,,,,
270277,611,,,,,
270276,611,,,,,
270275,611,,,,,
270274,610,,,,,
270273,610,,,,,
270272,610,,,,,
270271,610,,,,,
270270,610,,,,,
270269,609,,,,,
270268,609,,,,,
270267,609,,,,,
270266,608,,,,,
270265,608,,,,,
270263,608,,,,,
270262,608,,,,,
270261,607,,,,,
270260,607,,,,,
270259,607,,,,,
270258,606,,,,,
270257,606,,,,,
270256,606,,,,,
270255,606,,,,,
270254,605,,,,,
270253,605,,,,,
270252,605,,,,,
270251,605,,,,,
270250,605,,,,,
270249,603,,,,,
270248,603,,,,,
270246,603,,,,,
270245,603,,,,,
270244,603,,,,,
270243,603,,,,,
270242,603,,,,,
270241,603,,,,,
270240,603,,,,,
270239,602,,,,,
270238,602,,,,,
270237,602,,,,,
270236,602,,,,,
270235,602,,,,,
270234,602,,,,,
270233,602,,,,,
270232,601,,,,,
270231,601,,,,,
270230,601,,,,,
270229,601,,,,,
270228,599,,,,,
270227,599,,,,,
270226,599,,,,,
270225,599,,,,,
270224,598,,,,,
270223,598,,,,,
270222,598,,,,,
270221,598,,,,,
270220,598,,,,,
270219,597,,,,,
270218,597,,,,,
270217,597,,,,,
270216,596,,,,,
270215,596,,,,,
270214,596,,,,,
270213,596,,,,,
270212,595,,,,,
270211,595,,,,,
270210,595,,,,,
270209,595,,,,,
270208,594,,,,,
270207,594,,,,,
270206,593,,,,,
270205,593,,,,,
270204,593,,,,,
270203,593,,,,,
270202,593,,,,,
270201,592,,,,,
270200,592,,,,,
270199,592,,,,,
270198,591,,,,,
270197,591,,,,,
270196,591,,,,,
270195,591,,,,,
270194,591,,,,,
270193,591,,,,,
270192,590,,,,,
270191,589,,,,,
270190,589,,,,,
270189,589,,,,,
270187,589,,,,,
270186,589,,,,,
270185,589,,,,,
270184,589,,,,,
270183,587,,,,,
270182,587,,,,,
270181,587,,,,,
270180,587,,,,,
270179,587,,,,,
270178,587,,,,,
270177,587,,,,,
270176,586,,,,,
270175,586,,,,,
270174,586,,,,,
270173,586,,,,,
270172,586,,,,,
270171,586,,,,,
270170,586,,,,,
270169,585,,,,,
270168,585,,,,,
270167,585,,,,,
270166,584,,,,,
270165,584,,,,,
270164,583,,,,,
270163,583,,,,,
270162,583,,,,,
270161,583,,,,,
270160,583,,,,,
270159,583,,,,,
270158,583,,,,,
270157,583,,,,,
270156,583,,,,,
270154,582,,,,,
270153,582,,,,,
270152,582,,,,,
270151,582,,,,,
270150,581,,,,,
270149,581,,,,,
270148,581,,,,,
270147,581,,,,,
270146,581,,,,,
270145,581,,,,,
270144,580,,,,,
270143,580,,,,,
270141,579,,,,,
270140,579,,,,,
270138,579,,,,,
270137,578,,,,,
270136,578,,,,,
270135,577,,,,,
270134,577,,,,,
270133,577,,,,,
270132,577,,,,,
270131,577,,,,,
270130,577,,,,,
270129,576,,,,,
270128,576,,,,,
270127,576,,,,,
270126,575,,,,,
270125,575,,,,,
270124,575,,,,,
270123,575,,,,,
270122,574,,,,,
270121,574,,,,,
270120,574,,,,,
270119,574,,,,,
270118,574,,,,,
270117,574,,,,,
270116,573,,,,,
270115,573,,,,,
270114,573,,,,,
270113,573,,,,,
270112,572,,,,,
270110,572,,,,,
270109,572,,,,,
270108,572,,,,,
270107,572,,,,,
270106,571,,,,,
270105,571,,,,,
270104,570,,,,,
270103,570,,,,,
270102,570,,,,,
270101,570,,,,,
270100,570,,,,,
270099,569,,,,,
270098,569,,,,,
270097,569,,,,,
270096,569,,,,,
270095,569,,,,,
270094,568,,,,,
270093,568,,,,,
270092,568,,,,,
270091,568,,,,,
270090,568,,,,,
270089,567,,,,,
270088,567,,,,,
270087,566,,,,,
270086,566,,,,,
270085,566,,,,,
270084,566,,,,,
270083,566,,,,,
270082,565,,,,,
270081,565,,,,,
270080,564,,,,,
270079,564,,,,,
270078,564,,,,,
270077,564,,,,,
270076,563,,,,,
270075,563,,,,,
270074,563,,,,,
270073,563,,,,,
270072,562,,,,,
270071,562,,,,,
270070,562,,,,,
270069,562,,,,,
270068,562,,,,,
270067,562,,,,,
270066,562,,,,,
270065,562,,,,,
270064,562,,,,,
270063,561,,,,,
270062,561,,,,,
270061,561,,,,,
270060,561,,,,,
270059,561,,,,,
270057,560,,,,,
270056,560,,,,,
270055,560,,,,,
270054,560,,,,,
270053,560,,,,,
270052,559,,,,,
270051,559,,,,,
270050,559,,,,,
270049,559,,,,,
270048,559,,,,,
270047,558,,,,,
270046,558,,,,,
270045,558,,,,,
270044,558,,,,,
270043,558,,,,,
270042,557,,,,,
270041,557,,,,,
270039,557,,,,,
270038,557,,,,,
270037,556,,,,,
270036,556,,,,,
270035,556,,,,,
270034,556,,,,,
270033,556,,,,,
270032,556,,,,,
270031,555,,,,,
270029,555,,,,,
270028,555,,,,,
270027,555,,,,,
270026,554,,,,,
270025,554,,,,,
270024,553,,,,,
270023,553,,,,,
270022,553,,,,,
270021,553,,,,,
270020,553,,,,,
270019,553,,,,,
270018,553,,,,,
270017,553,,,,,
270016,553,,,,,
270015,552,,,,,
270014,552,,,,,
270013,552,,,,,
270012,552,,,,,
270011,552,,,,,
270010,551,,,,,
270009,551,,,,,
270008,551,,,,,
270007,551,,,,,
270006,551,,,,,
270005,551,,,,,
270004,551,,,,,
270003,550,,,,,
270002,550,,,,,
270001,550,,,,,
270000,550,,,,,
269999,550,,,,,
269998,550,,,,,
269997,550,,,,,
269996,550,,,,,
269995,549,,,,,
269994,549,,,,,
269993,549,,,,,
269992,549,,,,,
269991,549,,,,,
269990,548,,,,,
269989,548,,,,,
269988,548,,,,,
269987,548,,,,,
269986,548,,,,,
269985,548,,,,,
269984,547,,,,,
269983,547,,,,,
269982,546,,,,,
269981,546,,,,,
269980,546,,,,,
269979,546,,,,,
269978,545,,,,,
269977,545,,,,,
269976,545,,,,,
269975,545,,,,,
269974,545,,,,,
269973,545,,,,,
269972,544,,,,,
269971,544,,,,,
269970,544,,,,,
269969,544,,,,,
269968,544,,,,,
269967,543,,,,,
269966,543,,,,,
269965,543,,,,,
269964,543,,,,,
269963,543,,,,,
269962,543,,,,,
269961,542,,,,,
269960,542,,,,,
269959,542,,,,,
269958,542,,,,,
269957,542,,,,,
269956,542,,,,,
269955,542,,,,,
269954,542,,,,,
269953,542,,,,,
269952,542,,,,,
269951,541,,,,,
269950,541,,,,,
269949,541,,,,,
269948,541,,,,,
269947,541,,,,,
269946,541,,,,,
269945,540,,,,,
269944,540,,,,,
269943,540,,,,,
269942,540,,,,,
269941,539,,,,,
269940,539,,,,,
269939,539,,,,,
269938,539,,,,,
269937,538,,,,,
269936,538,,,,,
269935,538,,,,,
269934,538,,,,,
269933,538,,,,,
269932,537,,,,,
269931,537,,,,,
269930,537,,,,,
269929,537,,,,,
269928,537,,,,,
269927,537,,,,,
269926,537,,,,,
269925,537,,,,,
269924,537,,,,,
269923,536,,,,,
269922,536,,,,,
269921,536,,,,,
269920,535,,,,,
269919,535,,,,,
269918,535,,,,,
269917,534,,,,,
269916,534,,,,,
269915,534,,,,,
269914,534,,,,,
269913,534,,,,,
269912,534,,,,,
269911,534,,,,,
269910,533,,,,,
269909,533,,,,,
269908,533,,,,,
269907,533,,,,,
269906,532,,,,,
269905,532,,,,,
269904,532,,,,,
269903,532,,,,,
269902,532,,,,,
269901,532,,,,,
269900,531,,,,,
269899,531,,,,,
269898,531,,,,,
269897,531,,,,,
269896,530,,,,,
269895,530,,,,,
269894,530,,,,,
269893,530,,,,,
269892,530,,,,,
269891,530,,,,,
269890,530,,,,,
269889,529,,,,,
269888,529,,,,,
269887,529,,,,,
269886,529,,,,,
269885,529,,,,,
269884,529,,,,,
269883,528,,,,,
269882,528,,,,,
269881,528,,,,,
269880,528,,,,,
269879,528,,,,,
269878,528,,,,,
269877,528,,,,,
269876,528,,,,,
269875,527,,,,,
269874,527,,,,,
269873,527,,,,,
269872,527,,,,,
269871,527,,,,,
269870,527,,,,,
269869,527,,,,,
269868,527,,,,,
269867,526,,,,,
269866,526,,,,,
269863,526,,,,,
269862,526,,,,,
269861,526,,,,,
269860,526,,,,,
269859,526,,,,,
269858,525,,,,,
269857,525,,,,,
269856,525,,,,,
269855,525,,,,,
269854,525,,,,,
269853,524,,,,,
269852,524,,,,,
269851,524,,,,,
269850,524,,,,,
269849,524,,,,,
269848,524,,,,,
269847,524,,,,,
269846,523,,,,,
269845,523,,,,,
269844,523,,,,,
269843,523,,,,,
269842,523,,,,,
269841,523,,,,,
269840,522,,,,,
269839,522,,,,,
269838,522,,,,,
269837,522,,,,,
269836,522,,,,,
269835,522,,,,,
269834,522,,,,,
269833,522,,,,,
269832,522,,,,,
269831,522,,,,,
269830,522,,,,,
269829,522,,,,,
269828,522,,,,,
269827,522,,,,,
269826,522,,,,,
269825,521,,,,,
269824,521,,,,,
269823,521,,,,,
269822,521,,,,,
269821,521,,,,,
269820,520,,,,,
269819,520,,,,,
269818,520,,,,,
269817,520,,,,,
269816,520,,,,,
269815,520,,,,,
269814,520,,,,,
269813,520,,,,,
269812,520,,,,,
269811,520,,,,,
269809,520,,,,,
269808,520,,,,,
269807,519,,,,,
269806,519,,,,,
269805,519,,,,,
269804,519,,,,,
269803,518,,,,,
269802,518,,,,,
269801,518,,,,,
269800,518,,,,,
269799,518,,,,,
269798,518,,,,,
269797,517,,,,,
269796,517,,,,,
269795,517,,,,,
269794,517,,,,,
269793,517,,,,,
269792,517,,,,,
269791,517,,,,,
269790,517,,,,,
269789,517,,,,,
269788,517,,,,,
269787,517,,,,,
269786,516,,,,,
269785,516,,,,,
269784,516,,,,,
269783,515,,,,,
269782,515,,,,,
269781,515,,,,,
269780,515,,,,,
269779,515,,,,,
269778,515,,,,,
269777,515,,,,,
269776,515,,,,,
269775,514,,,,,
269774,514,,,,,
269773,514,,,,,
269772,514,,,,,
269771,514,,,,,
269770,514,,,,,
269769,513,,,,,
269768,513,,,,,
269767,513,,,,,
269765,513,,,,,
269764,513,,,,,
269763,513,,,,,
269762,513,,,,,
269761,512,,,,,
269760,512,,,,,
269759,512,,,,,
269758,512,,,,,
269757,512,,,,,
269756,512,,,,,
269755,512,,,,,
269754,512,,,,,
269753,511,,,,,
269752,511,,,,,
269751,511,,,,,
269750,511,,,,,
269749,511,,,,,
269748,510,,,,,
269747,510,,,,,
269746,510,,,,,
269745,510,,,,,
269744,510,,,,,
269743,510,,,,,
269742,510,,,,,
269741,510,,,,,
269740,509,,,,,
269739,509,,,,,
269738,509,,,,,
269737,509,,,,,
269736,509,,,,,
269735,509,,,,,
269734,509,,,,,
269733,509,,,,,
269732,509,,,,,
269730,509,,,,,
269729,509,,,,,
269728,508,,,,,
269727,508,,,,,
269726,508,,,,,
269725,508,,,,,
269724,508,,,,,
269723,508,,,,,
269722,508,,,,,
269721,507,,,,,
269720,507,,,,,
269719,507,,,,,
269718,507,,,,,
269717,507,,,,,
269716,507,,,,,
269715,507,,,,,
269714,507,,,,,
269713,506,,,,,
269712,506,,,,,
269711,506,,,,,
269710,506,,,,,
269709,506,,,,,
269708,506,,,,,
269707,506,,,,,
269706,506,,,,,
269705,505,,,,,
269704,505,,,,,
269703,505,,,,,
269702,505,,,,,
269701,505,,,,,
269700,505,,,,,
269699,504,,,,,
269698,504,,,,,
269697,504,,,,,
269696,504,,,,,
269695,504,,,,,
269694,503,,,,,
269692,503,,,,,
269691,503,,,,,
269690,503,,,,,
269688,503,,,,,
269687,503,,,,,
269685,502,,,,,
269684,502,,,,,
269683,502,,,,,
269682,502,,,,,
269681,502,,,,,
269680,502,,,,,
269679,501,,,,,
269678,501,,,,,
269677,501,,,,,
269676,501,,,,,
269675,501,,,,,
269674,501,,,,,
269673,501,,,,,
269672,501,,,,,
269671,501,,,,,
269670,501,,,,,
269669,500,,,,,
269668,500,,,,,
269667,500,,,,,
269666,500,,,,,
269665,500,,,,,
269664,500,,,,,
269663,500,,,,,
269662,500,,,,,
269661,500,,,,,
269660,499,,,,,
269659,499,,,,,
269658,499,,,,,
269657,499,,,,,
269656,499,,,,,
269655,499,,,,,
269654,498,,,,,
269653,498,,,,,
269652,498,,,,,
269651,498,,,,,
269650,497,,,,,
269649,497,,,,,
269648,497,,,,,
269647,497,,,,,
269646,497,,,,,
269645,497,,,,,
269644,497,,,,,
269643,497,,,,,
269642,497,,,,,
269641,497,,,,,
269640,496,,,,,
269638,496,,,,,
269637,496,,,,,
269636,496,,,,,
269635,496,,,,,
269634,496,,,,,
269633,496,,,,,
269632,496,,,,,
269631,496,,,,,
269629,496,,,,,
269628,496,,,,,
269627,496,,,,,
269626,496,,,,,
269625,495,,,,,
269624,495,,,,,
269623,495,,,,,
269622,495,,,,,
269621,495,,,,,
269620,495,,,,,
269619,495,,,,,
269618,494,,,,,
269617,494,,,,,
269616,494,,,,,
269615,494,,,,,
269614,494,,,,,
269613,494,,,,,
269612,494,,,,,
269611,494,,,,,
269610,494,,,,,
269609,494,,,,,
269608,494,,,,,
269607,494,,,,,
269606,494,,,,,
269605,493,,,,,
269604,493,,,,,
269603,493,,,,,
269602,493,,,,,
269601,493,,,,,
269600,493,,,,,
269599,493,,,,,
269598,493,,,,,
269597,493,,,,,
269596,492,,,,,
269594,492,,,,,
269593,492,,,,,
269592,492,,,,,
269591,492,,,,,
269590,492,,,,,
269589,492,,,,,
269588,492,,,,,
269587,492,,,,,
269586,492,,,,,
269585,492,,,,,
269584,492,,,,,
269583,491,,,,,
269582,491,,,,,
269581,491,,,,,
269580,491,,,,,
269579,491,,,,,
269578,491,,,,,
269577,491,,,,,
269576,491,,,,,
269575,490,,,,,
269574,490,,,,,
269573,490,,,,,
269572,490,,,,,
269571,490,,,,,
269570,490,,,,,
269569,490,,,,,
269568,490,,,,,
269567,490,,,,,
269566,490,,,,,
269565,490,,,,,
269564,490,,,,,
269563,490,,,,,
269562,489,,,,,
269561,489,,,,,
269560,489,,,,,
269559,489,,,,,
269558,489,,,,,
269557,489,,,,,
269556,489,,,,,
269555,488,,,,,
269554,488,,,,,
269553,488,,,,,
269552,488,,,,,
269551,488,,,,,
269550,488,,,,,
269549,488,,,,,
269548,488,,,,,
269547,488,,,,,
269546,488,,,,,
269545,488,,,,,
269544,487,,,,,
269543,487,,,,,
269542,487,,,,,
269541,487,,,,,
269540,487,,,,,
269539,487,,,,,
269538,487,,,,,
269537,486,,,,,
269536,486,,,,,
269535,486,,,,,
269534,486,,,,,
269533,486,,,,,
269532,486,,,,,
269531,486,,,,,
269530,486,,,,,
269529,486,,,,,
269528,486,,,,,
269527,485,,,,,
269526,485,,,,,
269525,485,,,,,
269524,485,,,,,
269523,485,,,,,
269522,485,,,,,
269521,485,,,,,
269520,485,,,,,
269519,485,,,,,
269518,485,,,,,
269517,485,,,,,
269516,484,,,,,
269515,484,,,,,
269514,484,,,,,
269513,484,,,,,
269512,484,,,,,
269511,484,,,,,
269510,484,,,,,
269509,484,,,,,
269508,484,,,,,
269507,484,,,,,
269506,483,,,,,
269505,483,,,,,
269504,483,,,,,
269503,483,,,,,
269502,483,,,,,
269501,483,,,,,
269500,483,,,,,
269499,483,,,,,
269498,482,,,,,
269496,482,,,,,
269495,482,,,,,
269494,482,,,,,
269493,482,,,,,
269492,482,,,,,
269491,482,,,,,
269490,482,,,,,
269489,481,,,,,
269488,481,,,,,
269487,481,,,,,
269486,481,,,,,
269485,481,,,,,
269484,481,,,,,
269483,481,,,,,
269482,480,,,,,
269481,480,,,,,
269480,480,,,,,
269479,480,,,,,
269478,480,,,,,
269477,480,,,,,
269476,480,,,,,
269474,480,,,,,
269473,480,,,,,
269472,480,,,,,
